id,espanol,shiwilu,intencion,fuente,estado_filtro,detalle_filtro,similitud_labse
GTR_0000,¡Buenos días!,MA'PU'SIN AWA!,SAL,generate_then_refine,aprobado,,0.422
GTR_0001,¡Buenas tardes!,INLLI'TER AWA!,SAL,generate_then_refine,aprobado,,0.3584
GTR_0002,¡Buenas noches!,MUSU' AWA!,SAL,generate_then_refine,aprobado,,0.387
GTR_0003,"¡Hola, amigo!","MA'PU'SIN, AWA!",SAL,generate_then_refine,aprobado,,0.3842
GTR_0004,¡Adiós!,PANTE'CHEK!,SAL,generate_then_refine,aprobado,,0.4943
GTR_0005,¡Nos vemos!,PA'ECHEK!,SAL,generate_then_refine,aprobado,,0.3948
GTR_0006,¡Hasta mañana!,PANTE'CHEK AWA!,SAL,generate_then_refine,aprobado,,0.4715
GTR_0007,¡Bienvenido!,MUWENCHA'KU'!,SAL,generate_then_refine,aprobado,,0.5355
GTR_0008,¡Feliz año nuevo!,MUEKTU'KERKER' AÑU ÑIÑUDUKER!,SAL,generate_then_refine,aprobado,,0.3989
GTR_0009,¡Que te vaya bien!,PA'ECHEK INLLI'TER!,SAL,generate_then_refine,aprobado,,0.3586
GTR_0010,¡Felices fiestas!,MUEKTU'KERKER' ÑIÑUDUKER!,SAL,generate_then_refine,aprobado,,0.4384
GTR_0011,¡Hola a todos!,MA'PU'SIN MUSU'!,SAL,generate_then_refine,aprobado,,0.5087
GTR_0012,¡Hasta pronto!,PANTE' PA'ECHEK!,SAL,generate_then_refine,aprobado,,0.5038
GTR_0013,¡Cuídate!,INLLI'TER PANTE'CHEK!,SAL,generate_then_refine,aprobado,,0.49
GTR_0014,¡Buen viaje!,MUEKTU'KERKER' AWA!,SAL,generate_then_refine,aprobado,,0.5089
GTR_0015,¡Con permiso!,PA'ECHEK MUSU'!,SAL,generate_then_refine,aprobado,,0.4813
GTR_0016,¡Que descanses!,MUSU' INLLI'TER!,SAL,generate_then_refine,aprobado,,0.4224
GTR_0017,¡Saludos!,MA'PU'SIN!,SAL,generate_then_refine,aprobado,,0.4327
GTR_0018,¡Hasta la vista!,PANT AWA PA'ECHEK!,SAL,generate_then_refine,aprobado,,0.4016
GTR_0019,¡Buen provecho!,MUEKTU'KERKER' INLLI'TER!,SAL,generate_then_refine,aprobado,,0.4648
GTR_0020,¡Qué alegría!,inllipu'ni mushipa',EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.7796
GTR_0021,Estoy muy triste.,enpu'nipa' wueinuipa',EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.7786
GTR_0022,¡Qué miedo!,a'sakeklliu empu'ni,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.8019
GTR_0023,Me alegra mucho.,inllipu'itk'lliu mushipa',EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.756
GTR_0024,¡Qué vergüenza!,enpu'ni a'sakepa',EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.8455
GTR_0025,Estoy enojado.,musu' ikerlli,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.7353
GTR_0026,¡Qué asco!,a'pinchi musu'lliu,EMO,generate_then_refine,aprobado,,0.6747
GTR_0027,Me siento solo.,enpu'nipa' enka'lliu,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.8231
GTR_0028,¡Pobrecito!,enka'lliu-sha wue'inu,EMO,generate_then_refine,aprobado,,0.6443
GTR_0029,Qué lástima.,chi enpu'ni wueinuipa',EMO,generate_then_refine,aprobado,,0.7992
GTR_0030,Estoy asustado.,a'sakeklliu empu'nipa',EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.7767
GTR_0031,"¡Ay, qué susto!",a'pinchi a'sakeklliu,EMO,generate_then_refine,aprobado,,0.7081
GTR_0032,Me preocupa.,enpu'ni ikerlli wue'inu,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.6502
GTR_0033,"Qué pena, hermano.",ten enpu'ni wueinuipa',EMO,generate_then_refine,aprobado,,0.7926
GTR_0034,Estoy contento.,inllipu'itk'later' mushipa',EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.6225
GTR_0035,¡Qué felicidad!,mushipa' inllipu'ni,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.7266
GTR_0036,Me duele el alma.,enpu'nipa' ikerlli enka'lliu,EMO,generate_then_refine,revisar_hablante_nativo,marcador,0.6828
GTR_0037,"Ay, qué pena.",ten enpu'nipa' wue'inu,EMO,generate_then_refine,aprobado,,0.7301
GTR_0038,Estoy sorprendido.,chi a'sakeklliu empu'ni,EMO,generate_then_refine,aprobado,,0.7237
GTR_0039,"Qué bonito, ay.",mushipa'-sha inllipu'ni,EMO,generate_then_refine,aprobado,,0.6235
GTR_0040,¿Dónde vives?,¿ÑAPALA NENU'LLI?,PRG,generate_then_refine,revisar_hablante_nativo,marcador,0.9491
GTR_0041,¿Qué comes?,¿KENMA MANU'LLI?,PRG,generate_then_refine,revisar_hablante_nativo,marcador,0.9336
GTR_0042,¿Cómo te llamas?,¿KENMA SHINU'LLI?,PRG,generate_then_refine,revisar_hablante_nativo,marcador,0.9451
GTR_0043,¿Quién llegó?,¿DEN'INA' TENU'LLI?,PRG,generate_then_refine,revisar_hablante_nativo,marcador,0.9232
GTR_0044,¿Es mujer?,¿ANTU A'CHA?,PRG,generate_then_refine,aprobado,,0.914
GTR_0045,¿Cuántos hay?,¿KENMA TACHI A'CHA?,PRG,generate_then_refine,aprobado,,0.9186
GTR_0046,¿De dónde viene?,¿ÑAPALA TENU'LLA?,PRG,generate_then_refine,revisar_hablante_nativo,marcador,0.9326
GTR_0047,¿Ya terminó?,¿KANA'TULLI A'CHA?,PRG,generate_then_refine,aprobado,,0.954
GTR_0048,¿Es tuyo?,¿AMPINU A'CHA?,PRG,generate_then_refine,aprobado,,0.9293
GTR_0049,¿Qué pasó?,¿KENMA TEKA'LLI?,PRG,generate_then_refine,revisar_hablante_nativo,marcador,0.9465
GTR_0050,¿Tienes agua?,¿UNA NANU'LLI A'CHA?,PRG,generate_then_refine,aprobado,,0.9019
GTR_0051,¿Quién habló?,¿DEN'INA' YANU'LLI?,PRG,generate_then_refine,revisar_hablante_nativo,marcador,0.9322
GTR_0052,¿Es bueno?,¿ICHA A'CHA?,PRG,generate_then_refine,aprobado,,0.898
GTR_0053,¿Cómo está?,¿KENMA NENU'LLA?,PRG,generate_then_refine,revisar_hablante_nativo,marcador,0.9392
GTR_0054,¿Dónde está él?,¿ÑAPALA NENU'LLI A'CHA?,PRG,generate_then_refine,aprobado,,0.9108
GTR_0055,¿Qué dijiste?,¿KENMA YANU'LLI?,PRG,generate_then_refine,revisar_hablante_nativo,marcador,0.9247
GTR_0056,¿Quién trajo esto?,¿DEN'INA' WANU'LLI?,PRG,generate_then_refine,revisar_hablante_nativo,marcador,0.945
GTR_0057,¿Es grande?,¿YUTUN A'CHA?,PRG,generate_then_refine,aprobado,,0.8307
GTR_0058,¿Ya comiste?,¿MANU'LLI A'CHA?,PRG,generate_then_refine,aprobado,,0.9214
GTR_0059,¿Qué quieres?,¿KENMA NANU'LLI?,PRG,generate_then_refine,revisar_hablante_nativo,marcador,0.9252
GTR_0060,¡Ven!,YA'KER',REQUEST,generate_then_refine,revisar_hablante_nativo,marcador,0.7969
GTR_0061,¡Siéntate!,ANKER',REQUEST,generate_then_refine,revisar_hablante_nativo,marcador,0.7244
GTR_0062,¡Cállate!,TA'ITULER'KER',REQUEST,generate_then_refine,revisar_hablante_nativo,marcador,0.82
GTR_0063,¡Escucha!,YAWKER',REQUEST,generate_then_refine,revisar_hablante_nativo,marcador,0.7066
GTR_0064,¡Mira!,WAKER',REQUEST,generate_then_refine,revisar_hablante_nativo,marcador,0.6818
GTR_0065,¡Tráelo!,YENNITULA'KER',REQUEST,generate_then_refine,revisar_hablante_nativo,marcador,0.8144
